id,replaces,unit,difficulty,cognitive,question,choices,answer1based,answerFeedback,allChoiceFeedback,takeaway,material,context,scope,sources
920001,910001,1,1,1,독도를 이루는 두 큰 섬의 이름은 무엇인가요?,"[""동도와 서도"", ""울릉도와 동도"", ""제주도와 서도"", ""울릉도와 제주도""]",1,동도와 서도가 독도의 두 큰 섬이에요. 둘레에는 작은 바위섬들도 있어요.,"[""동도와 서도가 독도의 두 큰 섬이에요. 둘레에는 작은 바위섬들도 있어요."", ""동도는 맞지만 울릉도는 독도에서 떨어진 별개의 섬이에요. 다른 큰 섬은 서도예요."", ""서도는 맞지만 제주도는 독도를 이루는 섬이 아니에요. 서도와 짝을 이루는 큰 섬은 동도예요."", ""울릉도와 제주도는 모두 독도와 별개의 섬이에요. 독도의 두 큰 섬은 동도와 서도예요.""]",독도는 동도·서도라는 두 큰 섬과 주변 바위섬들로 이루어져요.,,,,https://dokdo.mofa.go.kr/kor/introduce/location.jsp
920002,910002,1,2,2,독도의 두 큰 섬 주위에는 어떤 땅이 더 있나요?,"[""작은 바위섬들"", ""울릉도 본섬"", ""일본의 오키섬""]",1,독도에는 동도·서도뿐 아니라 둘레의 작은 바위섬들도 포함돼요.,"[""독도에는 동도·서도뿐 아니라 둘레의 작은 바위섬들도 포함돼요."", ""울릉도는 독도 주변의 부속 바위섬이 아니라 별개의 섬이에요."", ""오키섬은 독도의 부속 섬이 아니라 일본에 있는 별개의 섬들이에요.""]",독도는 동도·서도라는 두 큰 섬과 주변 바위섬들로 이루어져요.,,,,https://dokdo.mofa.go.kr/kor/introduce/location.jsp
920003,910003,1,3,3,독도 안내판에 두 큰 섬만 그렸다면 어떤 땅을 추가해야 하나요?,"[""울릉도 전체"", ""주변의 부속 바위섬"", ""일본 오키섬 전체""]",2,자료는 두 큰 섬과 주변 부속 도서를 함께 독도의 구성으로 설명해요.,"[""울릉도는 독도 구성 목록에 들어 있지 않아요. 주변 부속 바위섬을 더해야 해요."", ""자료는 두 큰 섬과 주변 부속 도서를 함께 독도의 구성으로 설명해요."", ""오키섬은 독도를 이루는 섬이 아니므로 이 구성도에 더하지 않아요.""]",독도는 동도·서도라는 두 큰 섬과 주변 바위섬들로 이루어져요.,독도의 구성: 동도 + 서도 + 주변 부속 도서 89개. 부속 도서는 두 큰 섬 주변의 작은 섬들이에요.,,,https://dokdo.mofa.go.kr/kor/introduce/location.jsp
920004,910004,1,4,4,독도를 ‘동도 한 섬의 이름’이라고 쓴 문장을 어떻게 고쳐야 하나요?,"[""동도와 울릉도를 아우르는 이름이다"", ""서도 한 섬만 가리키는 이름이다"", ""동도·서도와 주변 바위섬을 아우르는 이름이다""]",3,동도는 독도의 일부예요. 독도라는 이름은 서도와 부속 도서도 아울러요.,"[""울릉도는 독도와 별개의 섬이므로 구성에 넣으면 안 돼요."", ""서도만으로 바꾸어도 여전히 동도와 주변 바위섬을 빠뜨려요."", ""동도는 독도의 일부예요. 독도라는 이름은 서도와 부속 도서도 아울러요.""]",독도는 동도·서도라는 두 큰 섬과 주변 바위섬들로 이루어져요.,구성 자료에는 동도·서도와 89개 부속 도서가 모두 독도에 포함된다고 나와 있어요.,,,https://dokdo.mofa.go.kr/kor/introduce/location.jsp
920005,910005,1,1,1,독도는 울릉도에서 어느 방향에 있나요?,"[""동북쪽"", ""동남쪽"", ""서남쪽"", ""서북쪽""]",2,울릉도에서 동쪽이면서 남쪽인 방향으로 가면 독도가 있어요.,"[""동쪽은 맞지만 북쪽이 아니라 남쪽이에요. 독도는 울릉도의 동남쪽에 있어요."", ""울릉도에서 동쪽이면서 남쪽인 방향으로 가면 독도가 있어요."", ""남쪽은 맞지만 서쪽이 아니라 동쪽이에요."", ""울릉도에서 독도를 보는 방향은 서북쪽이 아니라 그 반대인 동남쪽이에요.""]",독도는 울릉도에서 동남쪽으로 약 87.4km 떨어져 있어요.,,,,https://www.mof.go.kr/doc/ko/selectDoc.do?bbsSeq=27&docSeq=20937&menuSeq=929 | https://dokdo.mofa.go.kr/kor/introduce/location.jsp
920006,910006,1,2,1,울릉도와 독도 사이의 거리는 약 얼마인가요?,"[""157.5km"", ""8.74km"", ""87.4km"", ""874km""]",3,87.4km가 울릉도와 독도 사이 거리예요.,"[""157.5km는 독도와 일본 오키섬 사이 거리예요."", ""87.4km에서 소수점을 한 자리 옮긴 값이에요. 실제 안내값보다 열 배 작아요."", ""87.4km가 울릉도와 독도 사이 거리예요."", ""874km는 안내값 87.4km의 열 배예요.""]",독도는 울릉도에서 동남쪽으로 약 87.4km 떨어져 있어요.,,,,https://www.mof.go.kr/doc/ko/selectDoc.do?bbsSeq=27&docSeq=20937&menuSeq=929 | https://dokdo.mofa.go.kr/kor/introduce/location.jsp
920007,910007,1,3,3,거리표에서 독도에 더 가까운 곳은 어디인가요?,"[""울릉도"", ""일본 오키섬""]",1,87.4km가 157.5km보다 짧으므로 울릉도가 더 가까워요.,"[""87.4km가 157.5km보다 짧으므로 울릉도가 더 가까워요."", ""오키섬까지는 157.5km로, 울릉도까지 87.4km보다 멀어요.""]",독도는 울릉도에서 동남쪽으로 약 87.4km 떨어져 있어요.,"독도에서 울릉도: 87.4km
독도에서 일본 오키섬: 157.5km",,,https://www.mof.go.kr/doc/ko/selectDoc.do?bbsSeq=27&docSeq=20937&menuSeq=929 | https://dokdo.mofa.go.kr/kor/introduce/location.jsp
920008,910008,1,4,3,독도에서 울릉도까지는 오키섬까지보다 몇 km 더 가까운가요?,"[""244.9km"", ""87.4km"", ""157.5km"", ""70.1km""]",4,두 거리를 빼면 157.5−87.4=70.1km예요. 울릉도가 그만큼 더 가까워요.,"[""244.9km는 두 거리를 더한 값이에요. 얼마나 더 가까운지는 빼서 구해요."", ""87.4km는 울릉도까지의 거리이지, 두 거리의 차이가 아니에요."", ""157.5km는 오키섬까지의 거리예요. 여기서 87.4km를 빼야 해요."", ""두 거리를 빼면 157.5−87.4=70.1km예요. 울릉도가 그만큼 더 가까워요.""]",독도는 울릉도에서 동남쪽으로 약 87.4km 떨어져 있어요.,"독도–울릉도 87.4km, 독도–일본 오키섬 157.5km. 이 수치로 거리의 차이를 계산하세요.",,,https://www.mof.go.kr/doc/ko/selectDoc.do?bbsSeq=27&docSeq=20937&menuSeq=929 | https://dokdo.mofa.go.kr/kor/introduce/location.jsp
920009,910009,1,1,1,독도의 동쪽에 있는 큰 섬은 무엇인가요?,"[""서도"", ""동도""]",2,동도의 ‘동’은 동쪽을 뜻해요. 서도보다 동쪽에 있는 큰 섬이에요.,"[""서도의 ‘서’는 서쪽을 뜻해요. 동쪽의 큰 섬은 동도예요."", ""동도의 ‘동’은 동쪽을 뜻해요. 서도보다 동쪽에 있는 큰 섬이에요.""]","동도는 동쪽의 큰 섬이고, 서도는 서쪽의 큰 섬이에요.",,,방향을 단순화한 위치 관계이며 두 섬의 실제 해안선을 그린 지도가 아니에요.,https://dokdo.mofa.go.kr/kor/introduce/location.jsp
920010,910010,1,2,2,독도의 서쪽 큰 섬을 지도에 표시하려면 어떤 이름을 쓰나요?,"[""서도"", ""동도""]",1,"서쪽 큰 섬은 서도이고, 동쪽 큰 섬은 동도예요.","[""서쪽 큰 섬은 서도이고, 동쪽 큰 섬은 동도예요."", ""동도는 동쪽 섬의 이름이므로 서쪽에 붙이면 두 이름이 뒤바뀌어요.""]","동도는 동쪽의 큰 섬이고, 서도는 서쪽의 큰 섬이에요.",,,방향을 단순화한 위치 관계이며 두 섬의 실제 해안선을 그린 지도가 아니에요.,https://dokdo.mofa.go.kr/kor/introduce/location.jsp
