id,replaces,unit,difficulty,cognitive,question,choices,answer1based,answerFeedback,allChoiceFeedback,takeaway,material,context,scope,sources
920001,910001,1,1,1,What are the names of Dokdo’s two main islands?,"[""Dongdo and Seodo"", ""Ulleungdo and Dongdo"", ""Jejudo and Seodo"", ""Ulleungdo and Jejudo""]",1,"Dongdo and Seodo are the two main islands, surrounded by smaller islets.","[""Dongdo and Seodo are the two main islands, surrounded by smaller islets."", ""Dongdo belongs to Dokdo, but Ulleungdo is a separate island. The other main island is Seodo."", ""Seodo belongs to Dokdo, but Jejudo does not. Its other main island is Dongdo."", ""Both are separate from Dokdo. Dokdo’s main islands are Dongdo and Seodo.""]","Dokdo consists of Dongdo, Seodo and the smaller islets around them.",,,,https://dokdo.mofa.go.kr/kor/introduce/location.jsp
920002,910002,1,2,2,What other land surrounds Dokdo’s two main islands?,"[""Smaller rocky islets"", ""The main island of Ulleungdo"", ""Japan’s Oki Islands""]",1,Dokdo includes the surrounding rocky islets as well as Dongdo and Seodo.,"[""Dokdo includes the surrounding rocky islets as well as Dongdo and Seodo."", ""Ulleungdo is a separate island, not one of Dokdo’s associated islets."", ""The Oki Islands are in Japan and are not part of Dokdo.""]","Dokdo consists of Dongdo, Seodo and the smaller islets around them.",,,,https://dokdo.mofa.go.kr/kor/introduce/location.jsp
920003,910003,1,3,3,What land should be added to a Dokdo sign that shows only its two main islands?,"[""All of Ulleungdo"", ""The surrounding associated islets"", ""All of Japan’s Oki Islands""]",2,The description includes the associated islets as well as the two main islands.,"[""Ulleungdo is not part of the listed land area. The missing land is the associated islets."", ""The description includes the associated islets as well as the two main islands."", ""The Oki Islands do not form part of Dokdo.""]","Dokdo consists of Dongdo, Seodo and the smaller islets around them.",Dokdo’s composition: Dongdo + Seodo + 89 associated islets. These are smaller islands around the two main islands.,,,https://dokdo.mofa.go.kr/kor/introduce/location.jsp
920004,910004,1,4,4,How should the statement “Dokdo is the name of Dongdo alone” be corrected?,"[""It names Dongdo and Ulleungdo"", ""It names Seodo alone"", ""It names Dongdo, Seodo and the surrounding islets""]",3,"Dongdo is only part of Dokdo, which also includes Seodo and associated islets.","[""Ulleungdo is separate and should not be added to Dokdo’s composition."", ""Changing the answer to Seodo alone still omits Dongdo and the smaller islets."", ""Dongdo is only part of Dokdo, which also includes Seodo and associated islets.""]","Dokdo consists of Dongdo, Seodo and the smaller islets around them.","The composition data includes Dongdo, Seodo and 89 associated islets within Dokdo.",,,https://dokdo.mofa.go.kr/kor/introduce/location.jsp
920005,910005,1,1,1,In which direction from Ulleungdo is Dokdo?,"[""Northeast"", ""Southeast"", ""Southwest"", ""Northwest""]",2,Dokdo is both east and south of Ulleungdo: southeast.,"[""East is right, but the north–south part is reversed. Dokdo is southeast."", ""Dokdo is both east and south of Ulleungdo: southeast."", ""South is right, but Dokdo is east rather than west of Ulleungdo."", ""Northwest is the opposite of the direction from Ulleungdo to Dokdo.""]",Dokdo lies about 87.4 km southeast of Ulleungdo.,,,,https://www.mof.go.kr/doc/ko/selectDoc.do?bbsSeq=27&docSeq=20937&menuSeq=929 | https://dokdo.mofa.go.kr/kor/introduce/location.jsp
920006,910006,1,2,1,Approximately how far apart are Ulleungdo and Dokdo?,"[""157.5 km"", ""8.74 km"", ""87.4 km"", ""874 km""]",3,The distance between Ulleungdo and Dokdo is about 87.4 km.,"[""157.5 km is the distance between Dokdo and Japan’s Oki Islands."", ""This shifts the decimal point: it is one tenth of the stated distance."", ""The distance between Ulleungdo and Dokdo is about 87.4 km."", ""874 km is ten times the stated 87.4 km.""]",Dokdo lies about 87.4 km southeast of Ulleungdo.,,,,https://www.mof.go.kr/doc/ko/selectDoc.do?bbsSeq=27&docSeq=20937&menuSeq=929 | https://dokdo.mofa.go.kr/kor/introduce/location.jsp
920007,910007,1,3,3,Which place is nearer to Dokdo in the distance table?,"[""Ulleungdo"", ""Japan’s Oki Islands""]",1,"87.4 km is less than 157.5 km, so Ulleungdo is nearer.","[""87.4 km is less than 157.5 km, so Ulleungdo is nearer."", ""The Oki Islands are 157.5 km away, farther than Ulleungdo’s 87.4 km.""]",Dokdo lies about 87.4 km southeast of Ulleungdo.,"Dokdo to Ulleungdo: 87.4 km
Dokdo to Japan’s Oki Islands: 157.5 km",,,https://www.mof.go.kr/doc/ko/selectDoc.do?bbsSeq=27&docSeq=20937&menuSeq=929 | https://dokdo.mofa.go.kr/kor/introduce/location.jsp
920008,910008,1,4,3,How many kilometres nearer to Dokdo is Ulleungdo than the Oki Islands?,"[""244.9 km"", ""87.4 km"", ""157.5 km"", ""70.1 km""]",4,"Subtracting gives 157.5 − 87.4 = 70.1 km, the difference in distance.","[""244.9 km is the sum, not the difference."", ""87.4 km is the full distance to Ulleungdo, not the difference."", ""157.5 km is the distance to the Oki Islands. Subtract 87.4 km from it."", ""Subtracting gives 157.5 − 87.4 = 70.1 km, the difference in distance.""]",Dokdo lies about 87.4 km southeast of Ulleungdo.,Dokdo–Ulleungdo: 87.4 km. Dokdo–Japan’s Oki Islands: 157.5 km. Use these distances to calculate the difference.,,,https://www.mof.go.kr/doc/ko/selectDoc.do?bbsSeq=27&docSeq=20937&menuSeq=929 | https://dokdo.mofa.go.kr/kor/introduce/location.jsp
920009,910009,1,1,1,Which main island is on Dokdo’s eastern side?,"[""Seodo"", ""Dongdo""]",2,“Dong” means east; Dongdo is the eastern main island.,"[""“Seo” means west. The eastern island is Dongdo."", ""“Dong” means east; Dongdo is the eastern main island.""]",Dongdo is the eastern main island and Seodo is the western one.,,,This simplifies their directional relationship; it is not a coastline map.,https://dokdo.mofa.go.kr/kor/introduce/location.jsp
920010,910010,1,2,2,What name labels Dokdo’s western main island?,"[""Seodo"", ""Dongdo""]",1,Seodo is the western island; Dongdo is the eastern one.,"[""Seodo is the western island; Dongdo is the eastern one."", ""Dongdo names the eastern island; placing it on the western one swaps the labels.""]",Dongdo is the eastern main island and Seodo is the western one.,,,This simplifies their directional relationship; it is not a coastline map.,https://dokdo.mofa.go.kr/kor/introduce/location.jsp
